report,evaluator,fluency,legal_acc,completeness,coherence,actionability,overall
R1,Rater1,5,5,5,5,5,5.0
R2,Rater1,5,4,5,5,4,4.6
R3,Rater1,5,5,5,5,5,5.0
R4,Rater1,4,4,5,4,4,4.2
R5,Rater1,5,5,5,5,5,5.0
R6,Rater1,5,5,5,5,5,5.0
R7,Rater1,4,4,5,4,4,4.2
R8,Rater1,5,5,5,5,5,5.0
R9,Rater1,5,4,5,5,4,4.6
R10,Rater1,5,5,5,5,5,5.0
R1,Rater2,5,4,5,5,4,4.6
R2,Rater2,4,4,5,4,4,4.2
R3,Rater2,5,5,5,5,5,5.0
R4,Rater2,4,3,5,4,4,4.0
R5,Rater2,5,5,5,5,5,5.0
R6,Rater2,5,5,5,5,4,4.8
R7,Rater2,4,4,5,4,4,4.2
R8,Rater2,5,4,5,5,4,4.6
R9,Rater2,5,4,5,4,4,4.4
R10,Rater2,5,5,5,5,5,5.0
