chunk_id,section_id,category,heading,sub_idx,text,word_count
0,MVO-1965-Sec-37,lane_discipline,Keeping to the Left,0,"Section 37 of the Motor Vehicles Ordinance 1965 mandates that every motor vehicle driver shall drive the vehicle as near to the left or near side of the road as may be practicable, and shall allow all vehicles coming from the opposite direction to pass on the right. Violation of this rule constitutes an offence under Section 37(1) and is punishable with a fine not exceeding five hundred rupees for the first offence, and not exceeding one thousand rupees for a subsequent offence. The driver must not straddle a white solid lane-dividing line between lanes of traffic moving in the same direction.",102
1,PHC-Rule-9,lane_discipline,Lane Discipline and Road Markings,0,"Rule 9 of the Pakistan Highway Code states that all drivers are required to observe lane markings on the carriageway. A solid white line denotes a lane boundary that must NOT be crossed. A broken white line permits lane changes when safe. Crossing a solid white line without emergency justification constitutes a lane discipline violation. The National Highway and Motorway Police (NHMP) may impose a fine of Rs. 1,000 to Rs. 3,000 for crossing a solid white lane marking. Repeat violations within 12 months may result in licence endorsement.",89
2,PHC-Rule-10,lane_discipline,Changing Lanes Safely,0,"Rule 10 of the Pakistan Highway Code requires that before changing lanes a driver must: (a) check mirrors and blind spots, (b) signal the intention at least 30 metres before the manoeuvre, and (c) ensure the lane is clear before moving. An illegal lane change is one made without signalling, across a solid white line, or in a manner that forces other vehicles to brake or swerve. Penalty: Rs. 1,000 fine. In case of resulting accident the driver may be charged under Section 279 of the Pakistan Penal Code for rash driving.",92
3,MVO-1965-Sec-38,lane_discipline,Overtaking Regulations,0,"Section 38 of the MVO 1965 specifies that overtaking shall only be performed on the right of the vehicle being overtaken, and only when the road ahead is clearly visible and free from oncoming traffic for a sufficient distance. Overtaking is prohibited at bends, crests, pedestrian crossings, intersections, and locations where a solid white centre line is present. A vehicle that overtakes by crossing a solid white centre line commits a lane discipline offence attracting a fine of Rs. 2,000 and three demerit points under the NHMP demerit scheme.",89
4,NHMP-Reg-2022-L1,lane_discipline,Motorway Lane Discipline Notice,0,"NHMP Motorway Regulations 2022 Clause L1 specifies that on motorways (M-1, M-2, M-3, M-4, M-9) all vehicles must use the left lane for normal travel and may use the middle or right lane only for overtaking. Hogging of the fast lane (right lane) is prohibited. Penalty for lane hogging: Rs. 2,000. Penalty for crossing a solid white motorway lane marker: Rs. 3,000. Penalty for making a U-turn or reversing on a motorway: Rs. 5,000 and possible vehicle impoundment.",78
5,PHC-Rule-11,lane_discipline,Straddling Lane Lines,0,"Rule 11 of the Pakistan Highway Code explicitly prohibits straddling lane lines. A vehicle shall be positioned entirely within a single lane. Where road markings consist of a solid white line with a broken white line, crossing the solid line is prohibited from the solid-line side. Traffic cameras and NHMP officers are authorised to issue challans for straddling violations. Fine: Rs. 1,000 per incident. Persistent violations may be referred to the licensing authority for remedial driver training.",77
6,MVO-1965-Sec-39,lane_discipline,Driving on One-Way Roads,0,"Section 39 MVO 1965 prohibits driving a vehicle in a direction opposite to the designated flow on a one-way road. Such action constitutes both a lane discipline violation and a reckless driving offence. Penalty: Rs. 2,000 fine and potential licence suspension for 30 days on a second offence. NHMP officers are empowered to impound the vehicle for up to 24 hours.",61
7,PHC-Rule-12,lane_discipline,Lane Markings at Junctions,0,"Rule 12 PHC requires drivers approaching a junction to position the vehicle in the correct lane as indicated by road markings well before the junction. Changing lanes within a junction box (yellow hatched area) or cutting across lane arrows is a lane discipline offence. Fine: Rs. 1,500. Junctions with traffic signals enforce this rule through camera-based challans.",57
8,NHMP-Reg-2022-L2,lane_discipline,Prohibited Manoeuvres on Highways,0,"NHMP Regulation 2022 Clause L2 lists prohibited manoeuvres on national highways: (a) driving on the hard shoulder as a traffic lane, (b) entering a carriageway from the hard shoulder without yielding, (c) performing three-point turns on a carriageway. Fine for hard-shoulder driving: Rs. 2,500. Fine for illegal entry from hard shoulder: Rs. 1,500. Fine for three-point turn on carriageway: Rs. 2,000 plus recovery costs if accident results.",67
9,PHC-Rule-13,lane_discipline,Double Yellow Centre Line,0,"Rule 13 PHC states that where the centre of the road is marked with a double yellow solid line, no vehicle may cross or straddle that marking under any circumstances. The double yellow line indicates a no-overtaking, no-crossing zone. Fine: Rs. 3,000 for a first offence; Rs. 5,000 and mandatory court appearance for a second offence within 24 months.",59
10,MVO-1965-Sec-40,speed_limit,General Speed Limit Provisions,0,"Section 40 of the Motor Vehicles Ordinance 1965 empowers the Provincial Government to prescribe speed limits for different categories of roads and vehicle types. The default urban speed limit in Pakistan is 50 km/h unless otherwise posted. On expressways and motorways the limit is 120 km/h for cars, 100 km/h for buses and light goods vehicles, and 80 km/h for heavy trucks. Exceeding the posted limit is a punishable offence. Fine schedule: 1-20 km/h over limit — Rs. 1,000; 21-40 km/h over — Rs. 3,000; 41+ km/h over — Rs. 5,000 and 30-day licence suspension.",95
11,PHC-Rule-16,speed_limit,Speed Limits in Urban Areas,0,"Rule 16 PHC prescribes maximum speed limits within town and city limits: Cars and motorcycles: 50 km/h; Heavy vehicles: 40 km/h; School zones and hospital zones: 25 km/h when children or patients are present. Speed cameras are deployed in urban areas and generate automatic challans. A driver caught exceeding 70 km/h in a 50 km/h zone faces an immediate Rs. 5,000 fine and the vehicle may be detained.",68
12,NHMP-Reg-2022-S1,speed_limit,Motorway Speed Enforcement,0,"NHMP Motorway Regulation 2022 Clause S1 states that average speed cameras are operational on M-2 and M-9 motorways. A vehicle recorded at an average speed exceeding the posted limit between two camera gantries receives an automatic challan. Fine: Rs. 3,000 for 1-20 km/h excess; Rs. 6,000 for 21-40 km/h excess; Rs. 10,000 plus court referral for 41+ km/h excess. Repeat offenders within 12 months face mandatory defensive driving course.",69
13,PHC-Rule-17,speed_limit,Minimum Speed on Motorways,0,"Rule 17 PHC mandates that no vehicle shall travel at less than 60 km/h on a designated motorway or expressway during normal conditions, as slow vehicles constitute a hazard. Tractors, non-motorised vehicles, and motorcycles under 100cc are prohibited from motorways. Fine for travelling below minimum speed: Rs. 1,000. Fine for prohibited vehicle type on motorway: Rs. 3,000 and vehicle removal at owner's expense.",63
14,MVO-1965-Sec-41,speed_limit,Speed Near Schools and Hospitals,0,"Section 41 MVO 1965 requires all drivers to reduce speed to 25 km/h when passing a school entrance, hospital gate, or place of worship during active hours. Signage indicating these zones is deemed sufficient notice. Fine for exceeding 25 km/h in a designated zone: Rs. 2,000 per offence. Where school children are crossing the fine rises to Rs. 5,000 and the matter is referred to a magistrate.",67
15,NHMP-Reg-2022-S2,speed_limit,Speed in Road Work Zones,0,NHMP 2022 Regulation S2 requires drivers to reduce speed to 40 km/h in designated road-work zones. Temporary speed limit signs take precedence over standard limits. Fines in work zones are doubled compared to the standard scale. A contractor may report speeding vehicles to NHMP who will issue challans based on time-stamped CCTV footage.,53
16,PHC-Rule-18,speed_limit,Speed in Adverse Weather,0,"Rule 18 PHC states that in rain, fog, dust storm, or other visibility-reducing conditions the driver must reduce speed to a level consistent with stopping within the visible distance. On motorways in fog when visibility is below 100 metres, a maximum of 60 km/h applies regardless of the posted limit. NHMP officers may issue advisory or mandatory speed restrictions via variable message signs. Violation carries a Rs. 2,000 fine.",69
17,MVO-1965-Sec-42,speed_limit,Speed Limits for Heavy Goods Vehicles,0,"Section 42 MVO 1965 sets specific speed limits for heavy goods vehicles (GVW > 10,000 kg): maximum 80 km/h on motorways, 60 km/h on national highways, 40 km/h in urban areas. A goods vehicle found exceeding these limits faces a Rs. 5,000 fine, and the vehicle operator (company) may also be fined. Tachograph data may be used as evidence.",59
18,MVO-1965-Sec-45,signal_violation,Compliance with Traffic Signals,0,"Section 45 MVO 1965 requires every driver to comply with any traffic signal or direction given by a traffic signal apparatus or a Police officer. A red light signal requires the vehicle to stop before the stop line and remain stopped until the light changes to green. Proceeding on a red light (red-light running) is a serious offence punishable by a fine of Rs. 2,000 and three demerit points. Causing an accident by red-light running is an aggravated offence under Section 279 PPC with potential imprisonment.",86
19,PHC-Rule-22,signal_violation,Amber Signal Rules,0,"Rule 22 PHC states that an amber (yellow) signal means stop unless the driver is so close to the stop line that stopping would cause danger to following traffic. Accelerating to beat an amber light when stopping is practicable constitutes a signal violation. Fine: Rs. 1,000. Traffic enforcement cameras capture vehicles crossing the stop line after the amber phase ends.",60
20,PHC-Rule-23,signal_violation,Stop Line Compliance,0,"Rule 23 PHC requires all vehicles to stop with the front of the vehicle behind the stop line when a red signal is displayed. Encroaching on a pedestrian crossing box or passing the stop line while the signal is red constitutes a violation, even if the vehicle does not proceed through the junction. Fine: Rs. 1,500. Camera-based enforcement is active at all signalised junctions in major cities.",67
21,NHMP-Reg-2022-T1,signal_violation,Automated Traffic Enforcement — Red Light Cameras,0,"NHMP Regulation 2022 Clause T1 authorises automated red-light camera enforcement. A photographic or video record of a vehicle crossing the stop line after the red signal is sufficient evidence for issuing a challan. The registered owner is liable if the driver cannot be identified. Owners must nominate the driver within 21 days or pay double the fine. Camera challan fine: Rs. 2,000. Failure to pay within 30 days: Rs. 4,000.",70
22,MVO-1965-Sec-46,signal_violation,Traffic Warden Authority,0,"Section 46 MVO 1965 gives traffic wardens and police officers authority to control traffic at intersections. A driver must obey hand signals by a uniformed officer even where traffic signals are present. Disobeying a traffic officer's signal is a separate offence from red-light running and carries a fine of Rs. 1,000 plus potential contempt proceedings.",55
23,PHC-Rule-24,signal_violation,Green Arrow Signal,0,"Rule 24 PHC explains that a green arrow signal permits movement in the arrow direction only. A driver given a green arrow but turning in any other direction commits a signal violation. Where a filter green arrow coexists with a red circle, only the arrow direction is permitted. Fine for wrong-direction travel on a filter green: Rs. 1,500.",58
24,PHC-Rule-25,signal_violation,Flashing Amber — Cautionary Signal,0,"Rule 25 PHC states that a flashing amber signal means proceed with caution, giving way to all other road users. A driver who proceeds on a flashing amber signal at speed without yielding and causes a hazard commits a careless driving offence under Section 279 PPC in addition to the signal violation. Combined penalty: Rs. 2,000 to Rs. 5,000.",59
25,NHMP-Reg-2022-T2,signal_violation,Signal Timing and Right-Turn Queue,0,"NHMP Reg 2022 T2 prohibits vehicles from blocking an intersection box (yellow box marking) when the vehicle cannot clear the box before the signal changes. A vehicle that enters the box on green and is caught by a red while still inside the box due to downstream congestion must yield to crossing traffic. Fine for blocking the junction box: Rs. 1,000.",61
26,MVO-1965-Sec-50,pedestrian_right_of_way,Pedestrian Right of Way at Crossings,0,"Section 50 MVO 1965 requires every driver to yield to pedestrians on a marked zebra crossing or a signalised pedestrian crossing when the pedestrian signal displays green (walk). A vehicle must stop and wait for pedestrians to fully clear the crossing before proceeding. Failing to yield to a pedestrian on a crossing is a serious offence carrying a fine of Rs. 3,000 and mandatory court appearance if injury results. Where a pedestrian is struck, the driver is prima facie liable under Section 279 and 338 PPC.",86
27,PHC-Rule-30,pedestrian_right_of_way,Pedestrian Crossings — Driver Duties,0,"Rule 30 PHC mandates that on approaching an uncontrolled pedestrian crossing (zebra crossing), the driver must be prepared to stop and shall give way to any pedestrian already on the crossing. Overtaking another vehicle within the zig-zag lines approaching a zebra crossing is strictly prohibited. Fine for not yielding at zebra crossing: Rs. 2,000. Fine for overtaking in zig-zag zone: Rs. 2,500.",62
28,PHC-Rule-31,pedestrian_right_of_way,School-Zone Pedestrian Safety,0,"Rule 31 PHC imposes heightened duties near schools: drivers must reduce to 25 km/h, must not park on the zig-zag approach to a school crossing, and must yield to school crossing patrol officers. Failure to stop for a school crossing patrol: Rs. 5,000 fine and referral to Magistrate. Endangering a child at a school crossing may result in prosecution under Section 337 PPC (hurt by rash act).",67
29,MVO-1965-Sec-51,pedestrian_right_of_way,Pedestrian at Intersections,0,"Section 51 MVO 1965 provides that when a driver turns at an intersection, the driver must yield to pedestrians crossing the road into which the vehicle is turning. This applies regardless of whether the traffic light for the vehicle is green. Pedestrians in the crosswalk have priority. Fine: Rs. 2,000 per violation.",52
30,PHC-Rule-32,pedestrian_right_of_way,Driving on Footpaths,0,"Rule 32 PHC prohibits any motorised vehicle from driving on a pavement, footpath, or cycle track. This includes brief manoeuvres to bypass congestion. Fine: Rs. 3,000 plus vehicle impoundment for repeat offenders. Endangering pedestrians on a footpath adds an additional charge under Section 279 PPC.",45
